Symbol,Open,High,Low,LTP,Chng,% Chng,Volume (lacs),Turnover (crs.),52w H,52w L,365 d % chng,30 d % chng
ADANIPORTS,750.00,766.00,713.25,715.00,-47.45,-6.22,72.20,532.63,901.00,384.40,79.22,-4.65
ASIANPAINT,3101.00,3167.35,3091.00,3138.00,-6.25,-0.20,10.29,322.53,3505.00,2117.15,45.66,5.66
AXISBANK,669.00,674.90,660.45,661.00,-18.90,-2.78,102.53,684.00,866.90,568.40,10.19,-21.49
BAJAJ-AUTO,3370.00,3383.50,3320.00,3335.00,-56.70,-1.67,3.42,114.59,4361.40,3041.00,9.30,-12.05
BAJAJFINSV,17200.00,17237.20,16610.00,16684.00,-684.85,-3.94,3.42,576.79,19325.00,8273.70,91.38,-9.10
BAJFINANCE,7021.00,7047.90,6775.00,6780.00,-345.80,-4.85,16.89,1161.63,8050.00,4362.00,44.57,-13.69
BHARTIARTL,763.00,763.00,733.10,735.85,-29.30,-3.83,111.43,830.06,781.80,454.11,58.55,5.70
BPCL,397.15,397.20,375.00,377.40,-22.70,-5.67,100.23,383.54,503.00,357.00,-1.22,-12.45
BRITANNIA,3560.00,3635.10,3533.95,3566.60,-6.80,-0.19,3.73,133.23,4153.00,3317.30,0.30,-3.42
CIPLA,892.00,976.05,890.65,965.00,65.05,7.23,144.59,1380.90,1005.00,726.50,31.89,6.34
COALINDIA,157.75,159.40,155.35,155.90,-2.65,-1.67,118.30,185.50,203.80,123.25,25.78,-10.94
DIVISLAB,4770.00,5077.70,4756.75,4940.00,140.20,2.92,15.71,775.37,5425.10,3153.30,42.39,-1.57
DRREDDY,4580.00,4820.00,4576.15,4750.00,158.40,3.45,10.72,508.97,5614.60,4135.00,-1.17,1.80
EICHERMOT,2495.00,2506.10,2421.50,2440.75,-79.65,-3.16,5.55,136.56,3037.00,2303.70,-5.95,-5.77
GRASIM,1757.30,1757.85,1679.00,1685.80,-80.95,-4.58,7.48,127.84,1893.00,840.05,99.95,-3.08
HCLTECH,1120.00,1126.00,1103.30,1111.65,-13.15,-1.17,22.07,246.06,1377.75,814.35,34.79,-4.73
HDFC,2820.35,2856.00,2723.00,2745.00,-122.75,-4.28,33.53,927.88,3021.10,2179.30,25.27,-5.72
HDFCBANK,1500.00,1506.70,1485.00,1489.50,-36.45,-2.39,93.12,1394.10,1725.00,1342.00,6.18,-9.88
HDFCLIFE,685.00,689.00,667.10,669.75,-19.05,-2.77,22.37,151.40,775.65,617.40,0.70,-2.94
HEROMOTOCO,2580.00,2589.70,2505.15,2526.80,-67.90,-2.62,6.85,174.04,3629.05,2505.15,-16.02,-6.43
HINDALCO,441.80,442.70,414.70,417.70,-29.35,-6.57,148.26,631.93,551.85,220.35,86.93,-14.06
HINDUNILVR,2344.00,2365.00,2325.20,2340.90,-8.15,-0.35,24.51,572.85,2859.30,2120.00,9.60,-3.94
ICICIBANK,739.00,742.05,718.60,720.45,-30.60,-4.07,189.88,1385.86,867.00,465.80,52.41,-13.14
INDUSINDBK,951.00,956.95,898.00,899.95,-59.35,-6.19,67.46,622.74,1242.00,789.00,5.25,-22.08
INFY,1702.55,1718.35,1684.00,1689.55,-32.85,-1.91,44.94,764.67,1848.00,1091.00,51.44,-0.83
IOC,125.60,125.60,120.50,121.15,-4.50,-3.58,77.25,94.57,141.50,84.00,41.28,-7.87
ITC,228.90,230.05,223.10,223.60,-7.70,-3.33,270.27,610.54,265.30,192.40,15.35,-5.53
JSWSTEEL,668.25,672.55,624.25,630.00,-50.90,-7.48,89.22,574.61,776.50,336.00,86.25,-9.27
KOTAKBANK,2002.00,2007.00,1955.10,1960.00,-75.10,-3.69,26.48,522.52,2253.00,1626.00,5.24,-11.35
LT,1820.00,1841.75,1768.60,1781.00,-68.90,-3.72,27.97,502.81,1981.75,1092.00,59.59,-0.85
M&M,885.00,885.00,843.00,855.05,-36.15,-4.06,39.34,338.08,979.00,660.25,18.77,-4.42
MARUTI,7520.00,7520.00,7130.00,7150.00,-422.50,-5.58,11.55,840.81,8368.00,6400.00,1.34,-2.02
NESTLEIND,19148.85,19434.10,18982.50,19250.00,71.95,0.38,0.56,108.61,20609.15,16002.10,9.87,0.17
NTPC,133.20,134.05,128.00,128.65,-6.55,-4.84,133.24,173.94,152.10,88.15,36.93,-10.16
ONGC,152.25,152.25,146.25,147.75,-7.35,-4.74,231.36,344.33,172.75,77.05,82.86,-9.41
POWERGRID,204.05,204.95,200.80,202.50,-1.75,-0.86,96.11,195.09,209.95,136.88,3.69,6.36
RELIANCE,2467.80,2477.60,2401.50,2405.10,-87.85,-3.52,72.75,1770.19,2751.35,1830.00,23.48,-9.62
SBILIFE,1154.00,1154.00,1105.25,1130.85,-28.65,-2.47,23.16,262.43,1273.90,825.20,33.19,-3.52
SBIN,486.25,487.90,467.10,470.00,-20.55,-4.19,263.06,1249.55,542.30,240.15,93.42,-8.30
SHREECEM,26450.00,26539.90,25812.00,25900.00,-770.50,-2.89,0.30,76.94,32048.00,22531.00,9.29,-6.76
SUNPHARMA,775.00,798.90,762.00,767.25,-15.65,-2.00,54.33,424.05,851.00,502.30,51.57,-5.69
TATACONSUM,800.20,805.00,763.15,769.90,-37.90,-4.69,26.17,203.32,889.00,505.05,49.55,-4.82
TATAMOTORS,486.00,486.75,458.00,459.40,-33.35,-6.77,517.88,2430.36,536.70,156.70,167.95,-9.68
TATASTEEL,1157.90,1159.50,1106.25,1110.25,-63.40,-5.40,106.46,1200.79,1534.50,539.50,105.13,-17.37
TCS,3425.00,3490.00,3411.90,3439.20,-6.70,-0.19,19.41,670.58,3989.90,2624.45,27.32,-1.25
TECHM,1544.00,1550.00,1510.15,1519.00,-40.35,-2.59,15.22,232.97,1630.00,846.70,76.17,-2.83
TITAN,2377.80,2385.10,2285.05,2293.00,-104.80,-4.37,12.89,298.54,2677.90,1300.35,75.45,-6.59
ULTRACEMCO,7550.00,7599.00,7370.10,7398.45,-210.35,-2.76,2.66,198.32,8269.00,4770.00,53.50,1.78
UPL,726.00,726.00,701.00,703.50,-23.80,-3.27,24.82,176.35,864.70,414.15,68.06,-1.37
WIPRO,632.00,634.40,619.65,621.30,-15.40,-2.42,41.39,259.37,739.85,346.25,77.51,-7.01
